prob	sat	deduped_reads	total_reads
1e-06	0.00641025641025639	155	156
3.16227766016838e-06	0.0105708245243129	468	473
1e-05	0.0417218543046357	1447	1510
3.16227766016838e-05	0.0959501557632398	4353	4815
1e-04	0.258739890425254	11365	15332
0.000316227766016838	0.524234799108984	23067	48484
0.001	0.778851609116698	33912	153345
0.00316227766016838	0.920264814314332	38649	484717
0.01	0.973990111662928	39871	1532917
0.0316227766016838	0.991690691719509	40310	4851186
0.1	0.997360253693225	40474	15332534
0.2	0.998679855549544	40496	30675431
0.288888888888889	0.999086037947309	40501	44313656
0.377777777777778	0.999300859663152	40503	57932575
0.466666666666667	0.999434164186545	40503	71580835
0.555555555555556	0.999524683538377	40503	85212702
0.644444444444445	0.999590239594759	40503	98845568
0.733333333333333	0.999639938569002	40503	112489138
0.822222222222222	0.999678815988682	40503	126105281
0.911111111111111	0.999710162665989	40503	139743902
1	0.99973593394832	40503	153382079
